0	22561
1	22563
2	22565
3	22567
4	22569
5	22572
6	22575
7	22578
8	22580
9	22582
10	22584
11	22587
12	22590
13	22593
14	22596
15	22599
16	22601
17	22603
18	22606
19	22608
20	22610
21	22612
22	22615
23	22617
24	22620
25	22622
26	22624
27	22627
28	22630
29	22632
30	22635
31	22638
32	22641
33	22644
34	22646
35	22648
36	22651
37	22653
38	22656
39	22659
40	22661
41	22663
42	22666
43	22669
44	22671
45	22674
46	22677
47	22680
48	22683
49	22686
50	22689
51	22692
52	22695
53	22698
54	22701
55	22704
56	22707
57	22710
58	22713
59	22716
60	22719
61	22722
62	22725
63	22727
64	22730
65	22732
66	22734
67	22737
68	22740
69	22743
70	22746
71	22749
72	22752
73	22755
74	22758
75	22761
