DutyID,CplexValue
4341160,1,000000000
4343358,1,000000000
4343380,1,000000000
4343392,1,000000000
4343408,1,000000000
4343410,1,000000000
4343411,1,000000000
4558348,0,189464041
6031343,0,243749876
5735385,0,096419406
4558192,0,045176739
6373998,0,775360392
6507389,0,497176796
5875513,0,035908878
4781184,0,126170710
6520891,0,948173197
5294618,0,786078587
6040809,0,260496728
6024243,0,423709762
5781128,0,045080164
5560089,0,431684445
6681217,0,279938882
6872281,0,066514059
5930186,0,213006670
6684276,0,054954222
5516489,0,076914784
6666310,0,045458631
4782549,0,427842826
5867244,1,000000000
6376542,0,015634480
6520890,0,051826803
4461410,0,268807615
5523548,0,417239774
5206779,0,024321377
7077967,0,965770317
4537967,0,033682541
6062525,0,122264054
5495195,0,259778674
4504317,0,526326664
6172352,0,374940590
4454285,0,213894663
6031166,0,342680810
4585607,0,102711028
5507780,0,546851348
6518874,0,053123705
5130418,0,088193083
4360719,1,000000000
5659194,0,035908878
5726831,0,093646576
5164163,0,101252862
6318456,0,224639608
4772868,0,003579038
4998482,0,135661911
6313141,0,405537770
5804255,0,079943522
4773027,0,432916225
5659200,0,199811554
6285609,0,206189516
5576051,0,150641269
6826772,0,051826803
4829375,0,765359220
4584450,0,163543466
4584292,0,001662966
6685742,0,350583548
5884438,0,359469207
5849954,0,210120580
4638205,0,135661911
4635931,0,513341476
4481531,0,145118121
5201978,0,097664395
4781182,0,086489449
6258389,0,026305186
5008309,0,179724378
5779541,0,418166013
4412756,0,303371420
5163604,0,065484952
4623109,0,088347174
6546517,0,457364573
6449835,0,026305186
4474536,0,731192385
5601580,0,290500342
5591342,0,041356839
5590524,0,200549497
5462146,0,413569314
5721969,0,600785721
4513100,0,203933058
6285752,0,018450093
5395164,1,000000000
6063838,0,150641269
5514481,0,041356839
5514006,0,526958717
6267179,0,199811554
4424364,0,427820965
6381414,0,775360392
5754719,0,324110815
4906553,0,350996613
5595320,0,906353424
6496575,0,307163520
6497799,0,188924460
6519033,0,171515904
4621080,0,067239140
4548697,0,232341850
5029495,0,159925365
5163594,0,041015290
7040789,0,017114841
4469189,0,259778674
5691885,0,558415557
5163595,0,003579038
5511815,0,351754823
5163784,0,112668551
4719174,0,220256066
5874795,0,138173119
5899450,0,216759530
5428816,0,593465296
5999416,0,986988061
5887301,0,031330262
5730626,0,017459751
4775295,0,740221326
6402810,0,093646576
5227820,0,135487931
6253186,0,462133946
5524011,0,582760226
6415279,0,803667300
6387905,1,000000000
5452707,0,287530521
5545995,0,259778674
5438628,0,223835105
4459407,0,221936787
5601838,0,236458375
5079892,0,259778674
6543675,0,388272714
5402961,0,432584182
4552691,0,251736549
6382711,0,093646576
