DutyID,CplexValue
4429,1,000000000
4498,1,000000000
4606,1,000000000
4607,1,000000000
6203,1,000000000
5603,1,000000000
5124,1,000000000
5910,1,000000000
6589,1,000000000
4685,1,000000000
4646,1,000000000
6417,1,000000000
6110,1,000000000
4612,1,000000000
5104,1,000000000
5170,1,000000000
4914,1,000000000
6703,1,000000000
5499,1,000000000
6740,1,000000000
5180,1,000000000
6769,1,000000000
5025,1,000000000
6281,1,000000000
6709,1,000000000
5029,1,000000000
6081,1,000000000
5206,1,000000000
4634,1,000000000
6214,1,000000000
6746,1,000000000
6221,1,000000000
5071,1,000000000
5040,1,000000000
4825,1,000000000
5184,1,000000000
6487,1,000000000
6710,1,000000000
4648,1,000000000
6778,1,000000000
6777,1,000000000
6716,1,000000000
4788,1,000000000
4629,1,000000000
6776,1,000000000
4630,1,000000000
5049,1,000000000
6775,1,000000000
4826,1,000000000
4980,1,000000000
4649,1,000000000
5038,1,000000000
4938,1,000000000
5933,1,000000000
