DutyID,CplexValue
3277,1,000000000
3286,1,000000000
3290,1,000000000
3403,1,000000000
3416,1,000000000
3421,1,000000000
3422,1,000000000
3803,1,000000000
4253,1,000000000
3540,1,000000000
3719,1,000000000
4010,1,000000000
4000,1,000000000
3530,1,000000000
3972,1,000000000
4367,1,000000000
4166,1,000000000
3426,1,000000000
4413,1,000000000
3547,1,000000000
4067,1,000000000
4373,1,000000000
3446,1,000000000
3623,1,000000000
3584,1,000000000
3556,1,000000000
4400,1,000000000
4148,1,000000000
4012,1,000000000
3628,1,000000000
4014,1,000000000
3436,1,000000000
3499,1,000000000
4005,1,000000000
4003,1,000000000
3600,1,000000000
4374,1,000000000
3457,1,000000000
4419,1,000000000
4418,1,000000000
4380,1,000000000
3430,1,000000000
3633,1,000000000
3557,1,000000000
3653,1,000000000
4417,1,000000000
