DutyID,CplexValue
26,1,000000000
27,1,000000000
28,1,000000000
54,1,000000000
79,1,000000000
82,1,000000000
85,1,000000000
86,1,000000000
89,1,000000000
207,1,000000000
258,1,000000000
151,1,000000000
109,1,000000000
142,1,000000000
469,1,000000000
226,1,000000000
155,1,000000000
117,1,000000000
172,1,000000000
503,1,000000000
169,1,000000000
322,1,000000000
190,1,000000000
489,1,000000000
100,1,000000000
506,1,000000000
90,1,000000000
129,1,000000000
152,1,000000000
133,1,000000000
91,1,000000000
147,1,000000000
505,1,000000000
121,1,000000000
